# Author: Rob Graves
# Date: Wed Feb 09 12:45:58 PST 2011
#
# 3D Models:
# 	CVM-S4 (version4.0-IO_patch)
# 	CVM-H11.1.0 (vx_lite)
#
# Data fields are TAB-separated, <-99999> indicates no valid data
#
# Column 1: Station Name
# Column 2: Station ID  No.
# Column 3: Owner
# Column 4: Station Latitude
# Column 5: Station Longitude
# Column 6: CVM-S4 Minimum depth (in meters) to Vs=1000 m/s
# Column 7: CVM-S4 Maximum depth (in meters) to Vs=1000 m/s
# Column 8: CVM-S4 Minimum depth (in meters) to Vs=2500 m/s
# Column 9: CVM-S4 Maximum depth (in meters) to Vs=2500 m/s
# Column 10: CVM-H11.1.0 Minimum depth (in meters) to Vs=1000 m/s
# Column 11: CVM-H11.1.0 Maximum depth (in meters) to Vs=1000 m/s
# Column 12: CVM-H11.1.0 Minimum depth (in meters) to Vs=2500 m/s
# Column 13: CVM-H11.1.0 Maximum depth (in meters) to Vs=2500 m/s
#
Parkfield - Vineyard Cany 1E	36455	CDMG	35.957	-120.481	-99999	-99999	-99999	-99999	80	80	340	5900
Parkfield - Vineyard Cany 1W	36448	CDMG	35.934	-120.497	-99999	-99999	-99999	-99999	60	60	340	4580
Parkfield - Vineyard Cany 2E	36177	CDMG	35.973	-120.467	-99999	-99999	-99999	-99999	40	40	320	6540
Parkfield - Vineyard Cany 2W	36447	CDMG	35.927	-120.509	-99999	-99999	-99999	-99999	80	80	340	340
Parkfield - Vineyard Cany 3W	36176	CDMG	35.922	-120.534	-99999	-99999	-99999	-99999	60	60	340	340
Parkfield - Vineyard Cany 4W	36446	CDMG	35.905	-120.55	-99999	-99999	-99999	-99999	60	60	340	340
Parkfield - Vineyard Cany 5W	36440	CDMG	35.885	-120.565	-99999	-99999	-99999	-99999	60	60	360	360
Parkfield - Vineyard Cany 6W	36441	CDMG	35.861	-120.6	-99999	-99999	-99999	-99999	80	80	1000	1000
Pleasant Valley P.P. - bldg	1162	USBR	36.308	-120.249	-99999	-99999	-99999	-99999	60	60	240	240
Slack Canyon	46175	CDMG	36.034	-120.59	-99999	-99999	-99999	-99999	40	40	280	280
